trip_id,selected_path,departure_time,travel_time,FP_normalized,trip_index
trip_1,trip_1_p0,26,84.37,1.0,1
trip_2,trip_2_p0,49,67.8,1.0,2
trip_3,trip_3_p0,13,147.97,1.0,3
trip_4,trip_4_p0,30,10.0,1.0,4
trip_5,trip_5_p1,7,204.65,1.0,5
trip_6,trip_6_p0,19,146.45,1.0,6
trip_7,trip_7_p0,40,140.03,1.0,7
trip_8,trip_8_p0,24,88.89,1.0,8
trip_9,trip_9_p0,32,87.51,1.0,9
trip_10,trip_10_p0,3,11.45,1.0,10
trip_11,trip_11_p0,25,180.78,1.0,11
trip_12,trip_12_p0,0,119.12,1.0,12
trip_13,trip_13_p0,15,111.6,1.0,13
trip_14,trip_14_p0,12,132.28,1.0,14
trip_15,trip_15_p1,9,145.6,1.0,15
trip_16,trip_16_p0,20,88.89,1.0,16
trip_17,trip_17_p1,19,182.35,1.0,17
trip_18,trip_18_p0,45,68.08,1.0,18
trip_19,trip_19_p0,8,153.05,1.0,19
trip_20,trip_20_p0,48,76.52,1.0,20
trip_21,trip_21_p0,11,52.89,1.0,21
trip_22,trip_22_p0,39,141.94,1.0,22
trip_23,trip_23_p0,21,93.36,1.0,23
trip_24,trip_24_p0,5,155.91,1.0,24
trip_25,trip_25_p0,49,95.54,1.0,25
trip_26,trip_26_p0,13,69.78,1.0,26
trip_27,trip_27_p0,34,140.49,1.0,27
trip_28,trip_28_p0,41,128.91,1.0,28
trip_29,trip_29_p0,28,118.66,1.0,29
trip_30,trip_30_p0,15,176.26,1.0,30
trip_31,trip_31_p0,38,164.63,1.0,31
trip_32,trip_32_p0,25,188.89,1.0,32
trip_33,trip_33_p0,17,10.0,1.0,33
trip_34,trip_34_p0,7,144.09,1.0,34
trip_35,trip_35_p0,13,142.35,1.0,35
trip_36,trip_36_p0,23,100.71,1.0,36
trip_37,trip_37_p0,11,80.74,1.0,37
trip_38,trip_38_p0,24,130.83,1.0,38
trip_39,trip_39_p0,0,221.09,1.0,39
trip_40,trip_40_p0,14,168.72,1.0,40
trip_41,trip_41_p0,11,64.71,1.0,41
trip_42,trip_42_p0,6,66.38,1.0,42
trip_43,trip_43_p1,22,216.6,1.0,43
trip_44,trip_44_p0,9,105.88,1.0,44
trip_45,trip_45_p1,22,122.12,1.0,45
trip_46,trip_46_p0,34,231.58,1.0,46
trip_47,trip_47_p1,1,107.45,1.0,47
trip_48,trip_48_p0,26,146.35,1.0,48
trip_49,trip_49_p0,38,133.11,1.0,49
trip_50,trip_50_p0,33,70.48,1.0,50
trip_51,trip_51_p0,29,124.43,1.0,51
trip_52,trip_52_p0,8,112.15,1.0,52
trip_53,trip_53_p0,36,101.4,1.0,53
trip_54,trip_54_p0,37,41.95,1.0,54
trip_55,trip_55_p0,44,159.22,1.0,55
trip_56,trip_56_p0,11,253.64,1.0,56
trip_57,trip_57_p0,14,154.25,1.0,57
trip_58,trip_58_p0,16,96.83,1.0,58
trip_59,trip_59_p0,17,217.29,1.0,59
trip_60,trip_60_p0,2,119.91,1.0,60
trip_61,trip_61_p0,34,37.11,1.0,61
trip_62,trip_62_p0,32,15.92,1.0,62
trip_63,trip_63_p0,28,106.02,1.0,63
trip_64,trip_64_p0,48,12.28,1.0,64
trip_65,trip_65_p0,13,245.54,1.0,65
trip_66,trip_66_p0,24,210.14,1.0,66
trip_67,trip_67_p0,0,118.71,1.0,67
trip_68,trip_68_p0,49,188.48,1.0,68
trip_69,trip_69_p0,31,100.33,1.0,69
trip_70,trip_70_p0,41,40.94,1.0,70
trip_71,trip_71_p1,49,257.94,1.0,71
trip_72,trip_72_p0,1,75.83,1.0,72
trip_73,trip_73_p0,30,186.78,1.0,73
trip_74,trip_74_p0,33,138.09,1.0,74
trip_75,trip_75_p0,13,159.25,1.0,75
trip_76,trip_76_p0,9,2.31,1.0,76
trip_77,trip_77_p0,11,49.66,1.0,77
trip_78,trip_78_p0,2,93.65,1.0,78
trip_79,trip_79_p0,11,101.26,1.0,79
trip_80,trip_80_p0,8,18.19,1.0,80
trip_81,trip_81_p0,47,2.31,1.0,81
trip_82,trip_82_p0,2,285.72,1.0,82
trip_83,trip_83_p0,34,80.59,1.0,83
trip_84,trip_84_p0,32,182.77,1.0,84
trip_85,trip_85_p0,27,196.46,1.0,85
trip_86,trip_86_p0,28,152.26,1.0,86
trip_87,trip_87_p0,26,7.89,1.0,87
trip_88,trip_88_p0,27,255.91,1.0,88
trip_89,trip_89_p0,21,81.97,1.0,89
trip_90,trip_90_p0,0,92.35,1.0,90
trip_91,trip_91_p0,9,152.95,1.0,91
trip_92,trip_92_p0,13,113.58,1.0,92
trip_93,trip_93_p0,20,42.93,1.0,93
trip_94,trip_94_p0,25,94.19,1.0,94
trip_95,trip_95_p0,4,103.8,1.0,95
trip_96,trip_96_p0,29,116.22,1.0,96
trip_97,trip_97_p0,10,201.18,1.0,97
trip_98,trip_98_p0,4,7.38,1.0,98
trip_99,trip_99_p0,21,88.89,1.0,99
trip_100,trip_100_p0,16,70.66,1.0,100
